participant,trial,video_id,skill_level,tool,mAP50,mAP75,mAP50_95,precision,recall,f1,frames,method
P4,4,P4.4,novice,forceps,0.0549,0.022,0.0242,0.0549,0.0549,0.0549,91,SAM3_simultaneous
P4,4,P4.4,novice,viscoelastic cannula,0.8788,0.6667,0.6091,0.8788,0.8788,0.8788,33,SAM3_simultaneous
P4,4,P4.4,novice,OVERALL,0.7645,0.5484,0.5325,0.7227,0.7758,0.7483,501,SAM3_simultaneous
P4,5,P4.5,novice,capsulorhexis forceps,0.992,0.804,0.7148,0.992,0.992,0.992,250,SAM3_simultaneous
P4,5,P4.5,novice,cystotome needle,0.9759,0.6386,0.5747,0.9759,0.9759,0.9759,83,SAM3_simultaneous
P4,5,P4.5,novice,diamond keratome iso,0.9744,0.6923,0.5872,0.9744,0.9744,0.9744,39,SAM3_simultaneous
P4,5,P4.5,novice,diamond keratome straight,0.7222,0.2222,0.2722,0.7222,0.7222,0.7222,18,SAM3_simultaneous
P4,5,P4.5,novice,forceps,0.3,0.1429,0.16,0.3,0.3,0.3,70,SAM3_simultaneous
P4,5,P4.5,novice,viscoelastic cannula,1.0,0.7,0.58,1.0,1.0,1.0,20,SAM3_simultaneous
P4,5,P4.5,novice,OVERALL,0.9159,0.6764,0.6084,0.8627,0.8771,0.8698,428,SAM3_simultaneous
P5,1,P5.1,novice,capsulorhexis forceps,0.8199,0.5287,0.4904,0.8199,0.8199,0.8199,261,SAM3_simultaneous
P5,1,P5.1,novice,cystotome needle,0.0118,0.0118,0.0106,0.0118,0.0118,0.0118,85,SAM3_simultaneous
P5,1,P5.1,novice,diamond keratome iso,0.0323,0.0,0.0032,0.0323,0.0323,0.0323,31,SAM3_simultaneous
P5,1,P5.1,novice,diamond keratome straight,0.8667,0.3,0.37,0.8667,0.8667,0.8667,30,SAM3_simultaneous
P5,1,P5.1,novice,forceps,0.011,0.0,0.0011,0.011,0.011,0.011,91,SAM3_simultaneous
P5,1,P5.1,novice,viscoelastic cannula,0.8533,0.4267,0.464,0.8533,0.8533,0.8533,75,SAM3_simultaneous
P5,1,P5.1,novice,OVERALL,0.4976,0.3071,0.2914,0.4687,0.5358,0.5,512,SAM3_simultaneous
P5,2,P5.2,novice,capsulorhexis forceps,0.9612,0.4417,0.5015,0.9612,0.9612,0.9612,206,SAM3_simultaneous
P5,2,P5.2,novice,cystotome needle,0.0111,0.0111,0.0078,0.0111,0.0111,0.0111,90,SAM3_simultaneous
P5,2,P5.2,novice,diamond keratome iso,0.8095,0.0476,0.3238,0.8095,0.8095,0.8095,21,SAM3_simultaneous
P5,2,P5.2,novice,diamond keratome straight,0.8529,0.1176,0.3059,0.8529,0.8529,0.8529,34,SAM3_simultaneous
P5,2,P5.2,novice,forceps,0.0842,0.0211,0.0411,0.0842,0.0842,0.0842,95,SAM3_simultaneous
P5,2,P5.2,novice,viscoelastic cannula,0.9265,0.5735,0.5588,0.9265,0.9265,0.9265,68,SAM3_simultaneous
P5,2,P5.2,novice,OVERALL,0.585,0.274,0.3097,0.543,0.6089,0.574,459,SAM3_simultaneous
P5,3,P5.3,novice,capsulorhexis forceps,0.9086,0.3371,0.4177,0.9086,0.9086,0.9086,175,SAM3_simultaneous
P5,3,P5.3,novice,cystotome needle,0.4935,0.026,0.1325,0.4935,0.4935,0.4935,77,SAM3_simultaneous
P5,3,P5.3,novice,diamond keratome iso,0.4,0.1,0.15,0.4,0.4,0.4,10,SAM3_simultaneous
P5,3,P5.3,novice,diamond keratome straight,0.7333,0.0,0.2633,0.7333,0.7333,0.7333,30,SAM3_simultaneous
P5,3,P5.3,novice,forceps,0.0353,0.0,0.0129,0.0353,0.0353,0.0353,85,SAM3_simultaneous
P5,3,P5.3,novice,viscoelastic cannula,0.6119,0.2388,0.2627,0.6119,0.6119,0.6119,67,SAM3_simultaneous
P5,3,P5.3,novice,OVERALL,0.5613,0.1714,0.2363,0.5225,0.6,0.5586,404,SAM3_simultaneous
P5,4,P5.4,novice,capsulorhexis forceps,0.0042,0.0,0.0013,0.0042,0.0042,0.0042,237,SAM3_simultaneous
P5,4,P5.4,novice,cystotome needle,0.6452,0.2419,0.2871,0.6452,0.6452,0.6452,62,SAM3_simultaneous
P5,4,P5.4,novice,diamond keratome iso,0.1111,0.1111,0.0778,0.1111,0.1111,0.1111,9,SAM3_simultaneous
P5,4,P5.4,novice,diamond keratome straight,0.9,0.4333,0.4433,0.9,0.9,0.9,30,SAM3_simultaneous
P5,4,P5.4,novice,forceps,0.5663,0.2048,0.2301,0.5663,0.5663,0.5663,83,SAM3_simultaneous
P5,4,P5.4,novice,viscoelastic cannula,0.9848,0.7424,0.6697,0.9848,0.9848,0.9848,66,SAM3_simultaneous
P5,4,P5.4,novice,OVERALL,0.3073,0.1565,0.1607,0.3261,0.3613,0.3428,449,SAM3_simultaneous
P5,5,P5.5,novice,capsulorhexis forceps,0.8925,0.4393,0.4659,0.8925,0.8925,0.8925,214,SAM3_simultaneous
P5,5,P5.5,novice,cystotome needle,0.8824,0.2941,0.3725,0.8824,0.8824,0.8824,51,SAM3_simultaneous
P5,5,P5.5,novice,diamond keratome iso,0.7857,0.3929,0.4286,0.7857,0.7857,0.7857,28,SAM3_simultaneous
P5,5,P5.5,novice,diamond keratome straight,0.9714,0.6857,0.5543,0.9714,0.9714,0.9714,35,SAM3_simultaneous
P5,5,P5.5,novice,forceps,0.0213,0.0106,0.0085,0.0213,0.0213,0.0213,94,SAM3_simultaneous
P5,5,P5.5,novice,viscoelastic cannula,0.9833,0.8,0.7033,0.9833,0.9833,0.9833,60,SAM3_simultaneous
P5,5,P5.5,novice,OVERALL,0.7727,0.4189,0.4223,0.6513,0.7324,0.6895,419,SAM3_simultaneous
P1,1,P1.1,expert,capsulorhexis_forceps,0.945,0.6789,0.5995,0.945,0.945,0.945,218,SAM3_sequential
P1,1,P1.1,expert,cystotome needle,0.8897,0.4118,0.4529,0.8897,0.8897,0.8897,136,SAM3_sequential
P1,1,P1.1,expert,diamond keratome iso,1.0,0.5172,0.5862,1.0,1.0,1.0,29,SAM3_sequential
P1,1,P1.1,expert,diamond keratome straight,1.0,0.98,0.786,1.0,1.0,1.0,50,SAM3_sequential
P1,1,P1.1,expert,forceps,0.0987,0.0987,0.0822,0.0987,0.0987,0.0987,152,SAM3_sequential
P1,1,P1.1,expert,viscoelastic cannula,0.987,0.9091,0.7571,0.987,0.987,0.987,77,SAM3_sequential
P1,1,P1.1,expert,OVERALL,0.69,0.4563,0.4261,0.5907,0.7674,0.6675,583,SAM3_sequential
P1,2,P1.2,expert,capsulorhexis_forceps,0.7701,0.2989,0.3661,0.7701,0.7701,0.7701,174,SAM3_sequential
P1,2,P1.2,expert,cystotome needle,0.6273,0.1182,0.2409,0.6273,0.6273,0.6273,110,SAM3_sequential
P1,2,P1.2,expert,diamond keratome iso,0.8889,0.3889,0.4333,0.8889,0.8889,0.8889,18,SAM3_sequential
P1,2,P1.2,expert,diamond keratome straight,0.85,0.45,0.4175,0.85,0.85,0.85,40,SAM3_sequential
P1,2,P1.2,expert,forceps,0.5495,0.5405,0.3991,0.5495,0.5495,0.5495,111,SAM3_sequential
P1,2,P1.2,expert,viscoelastic cannula,0.8378,0.6486,0.5811,0.8378,0.8378,0.8378,37,SAM3_sequential
P1,2,P1.2,expert,OVERALL,0.6574,0.2992,0.3307,0.6534,0.7026,0.6771,432,SAM3_sequential
P1,3,P1.3,expert,capsulorhexis_forceps,0.0056,0.0056,0.0044,0.0056,0.0056,0.0056,180,SAM3_sequential
P1,3,P1.3,expert,cystotome needle,0.9764,0.9213,0.7992,0.9764,0.9764,0.9764,127,SAM3_sequential
P1,3,P1.3,expert,diamond keratome iso,0.9524,0.7857,0.7071,0.9524,0.9524,0.9524,42,SAM3_sequential
P1,3,P1.3,expert,diamond keratome straight,0.9425,0.7586,0.7437,0.9425,0.9425,0.9425,87,SAM3_sequential
P1,3,P1.3,expert,forceps,0.1049,0.0864,0.0852,0.1049,0.1049,0.1049,162,SAM3_sequential
P1,3,P1.3,expert,viscoelastic cannula,1.0,0.9024,0.8707,1.0,1.0,1.0,41,SAM3_sequential
P1,3,P1.3,expert,OVERALL,0.4167,0.3676,0.335,0.4479,0.4766,0.4618,510,SAM3_sequential
P1,4,P1.4,expert,capsulorhexis_forceps,0.0036,0.0036,0.0033,0.0036,0.0036,0.0036,275,SAM3_sequential
P1,4,P1.4,expert,cystotome needle,0.9667,0.6167,0.5767,0.9667,0.9667,0.9667,60,SAM3_sequential
P1,4,P1.4,expert,diamond keratome iso,1.0,0.8286,0.6543,1.0,1.0,1.0,35,SAM3_sequential
P1,4,P1.4,expert,diamond keratome straight,0.9608,0.549,0.5373,0.9608,0.9608,0.9608,51,SAM3_sequential
P1,4,P1.4,expert,forceps,0.5575,0.2832,0.2513,0.5575,0.5575,0.5575,113,SAM3_sequential
P1,4,P1.4,expert,viscoelastic cannula,0.95,0.675,0.655,0.95,0.95,0.95,40,SAM3_sequential
P1,4,P1.4,expert,OVERALL,0.3253,0.2013,0.1865,0.4026,0.4251,0.4136,488,SAM3_sequential
P1,5,P1.5,expert,capsulorhexis_forceps,0.974,0.7396,0.638,0.974,0.974,0.974,192,SAM3_sequential
P1,5,P1.5,expert,cystotome needle,0.9091,0.5455,0.504,0.9091,0.9091,0.9091,99,SAM3_sequential
P1,5,P1.5,expert,diamond keratome iso,0.8868,0.4717,0.483,0.8868,0.8868,0.8868,53,SAM3_sequential
P1,5,P1.5,expert,diamond keratome straight,0.6,0.2667,0.2822,0.6,0.6,0.6,45,SAM3_sequential
P1,5,P1.5,expert,forceps,0.4924,0.4545,0.3614,0.4924,0.4924,0.4924,132,SAM3_sequential
P1,5,P1.5,expert,viscoelastic cannula,1.0,0.9667,0.8467,1.0,1.0,1.0,30,SAM3_sequential
P1,5,P1.5,expert,OVERALL,0.8008,0.5778,0.5091,0.7676,0.8094,0.788,453,SAM3_sequential
P2,1,P2.1,novice,capsulorhexis_forceps,0.3017,0.2959,0.2433,0.3017,0.3017,0.3017,517,SAM3_sequential
P2,1,P2.1,novice,cystotome needle,0.0097,0.0049,0.0049,0.0097,0.0097,0.0097,206,SAM3_sequential
P2,1,P2.1,novice,diamond keratome iso,0.9747,0.8354,0.6468,0.9747,0.9747,0.9747,79,SAM3_sequential
P2,1,P2.1,novice,diamond keratome straight,0.25,0.25,0.175,0.25,0.25,0.25,4,SAM3_sequential
P2,1,P2.1,novice,forceps,0.28,0.22,0.194,0.28,0.28,0.28,50,SAM3_sequential
P2,1,P2.1,novice,viscoelastic cannula,0.0602,0.012,0.0181,0.0602,0.0602,0.0602,166,SAM3_sequential
P2,1,P2.1,novice,OVERALL,0.1316,0.11,0.0922,0.1402,0.2752,0.1858,1020,SAM3_sequential
P2,2,P2.2,novice,capsulorhexis_forceps,0.6613,0.499,0.4347,0.6613,0.6613,0.6613,499,SAM3_sequential
P2,2,P2.2,novice,cystotome needle,0.8066,0.6243,0.5039,0.8066,0.8066,0.8066,181,SAM3_sequential
P2,2,P2.2,novice,diamond keratome iso,0.4731,0.4516,0.3312,0.4731,0.4731,0.4731,93,SAM3_sequential
P2,2,P2.2,novice,diamond keratome straight,0.6977,0.0233,0.207,0.6977,0.6977,0.6977,43,SAM3_sequential
P2,2,P2.2,novice,forceps,0.0175,0.0175,0.0123,0.0175,0.0175,0.0175,57,SAM3_sequential
