method,tool,metric,criterion,spearman_rho,p_value,significant
YOLO26,cystotome needle,usage_time,(17),-0.5097264304061554,0.009245095268487604,True
YOLO26,diamond keratome iso,path_length,(4),-0.24314938128981867,0.24152444855538086,False
YOLO26,diamond keratome iso,path_length,(5),0.08551319963904584,0.6844325020483439,False
YOLO26,diamond keratome iso,path_length,(6),-0.3700988450544116,0.0686009007260971,False
YOLO26,diamond keratome iso,path_length,(7),-0.16023745286618013,0.44419194281474894,False
YOLO26,diamond keratome iso,path_length,(14),-0.3434766482822847,0.0927538437205888,False
YOLO26,diamond keratome iso,path_length,(15),-0.19534715505477385,0.34938156607503157,False
YOLO26,diamond keratome iso,path_length,(16),-0.11724907706326235,0.5767331028687103,False
YOLO26,diamond keratome iso,path_length,(17),-0.2726856346290818,0.1872417563021093,False
YOLO26,diamond keratome iso,usage_time,(4),-0.3353894597489104,0.10122068213313698,False
YOLO26,diamond keratome iso,usage_time,(5),0.02391600998190819,0.9096548748328532,False
YOLO26,diamond keratome iso,usage_time,(6),-0.41558292039144396,0.038824633083439974,True
YOLO26,diamond keratome iso,usage_time,(7),-0.2673575896156176,0.196349906897994,False
YOLO26,diamond keratome iso,usage_time,(14),-0.39083949057874723,0.05338591681378496,False
YOLO26,diamond keratome iso,usage_time,(15),-0.2923773551491253,0.15611624413767533,False
YOLO26,diamond keratome iso,usage_time,(16),-0.19488772092519357,0.350538505636062,False
YOLO26,diamond keratome iso,usage_time,(17),-0.4000826702499268,0.047517860749502164,True
YOLO26,diamond keratome straight,path_length,(4),-0.05817415392940215,0.7823844290797032,False
YOLO26,diamond keratome straight,path_length,(5),-0.2268523491262402,0.27549881422369954,False
YOLO26,diamond keratome straight,path_length,(6),-0.030261513370633496,0.8858213418823747,False
YOLO26,diamond keratome straight,path_length,(7),0.1897766134196478,0.3635615523133093,False
YOLO26,diamond keratome straight,path_length,(14),-0.06630168930445232,0.7528504258790184,False
YOLO26,diamond keratome straight,path_length,(15),-0.033294883896870804,0.8744607869134214,False
YOLO26,diamond keratome straight,path_length,(16),-0.1569404744214826,0.45374282588504633,False
YOLO26,diamond keratome straight,path_length,(17),-0.01476085096096982,0.9441703175845043,False
YOLO26,diamond keratome straight,usage_time,(4),-0.1447876879556684,0.48986233380526,False
YOLO26,diamond keratome straight,usage_time,(5),-0.15398322381429347,0.4624006244191468,False
YOLO26,diamond keratome straight,usage_time,(6),-0.07967730884120683,0.7049897636231196,False
YOLO26,diamond keratome straight,usage_time,(7),0.07823415133008237,0.7101051833915225,False
YOLO26,diamond keratome straight,usage_time,(14),-0.059948863854169,0.7759088811121054,False
YOLO26,diamond keratome straight,usage_time,(15),0.0697502179762192,0.7404177780290995,False
YOLO26,diamond keratome straight,usage_time,(16),-0.11185988487801163,0.5944898424328148,False
YOLO26,diamond keratome straight,usage_time,(17),-0.1916573954299727,0.3587368876415666,False
YOLO26,forceps,path_length,(4),0.3004626062886658,0.1444636469095313,False
YOLO26,forceps,path_length,(5),0.037553380809940536,0.8585530441182787,False
YOLO26,forceps,path_length,(6),0.4484841676276118,0.024539345117124006,True
YOLO26,forceps,path_length,(7),0.45464095085946027,0.02241307395008337,True
YOLO26,forceps,path_length,(14),0.37678443020453434,0.06337250319557464,False
YOLO26,forceps,path_length,(15),0.5352068981872604,0.005835840297133509,True
YOLO26,forceps,path_length,(16),0.28284415601736107,0.17069165691918495,False
YOLO26,forceps,path_length,(17),0.5104562476458709,0.00912840273973333,True
YOLO26,forceps,usage_time,(4),0.08089377861617925,0.7006874976117246,False
YOLO26,forceps,usage_time,(5),-0.0580370430699081,0.7828853101393123,False
YOLO26,forceps,usage_time,(6),-0.019774434198748313,0.9252528190830229,False
YOLO26,forceps,usage_time,(7),-0.16093484986175585,0.4421855001881003,False
YOLO26,forceps,usage_time,(14),-0.12045431452335226,0.5662842573559642,False
YOLO26,forceps,usage_time,(15),0.08805147604748713,0.675557900732652,False
