participant,trial,video_id,skill_level,tool,path_length,usage_time,num_detections,method
P1,4,P1.4,expert,forceps,6678.7829453642335,38.53333333333333,578,SAM3_sequential
P1,4,P1.4,expert,viscoelastic cannula,1097.9886219200096,9.4,141,SAM3_sequential
P1,5,P1.5,expert,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P1,5,P1.5,expert,cystotome needle,2377.926954012417,21.933333333333334,329,SAM3_sequential
P1,5,P1.5,expert,diamond keratome iso,1267.412676769716,12.0,180,SAM3_sequential
P1,5,P1.5,expert,diamond keratome straight,1867.7485922810604,11.066666666666666,166,SAM3_sequential
P1,5,P1.5,expert,forceps,4453.766489526216,44.733333333333334,671,SAM3_sequential
P1,5,P1.5,expert,viscoelastic cannula,1047.1732430247384,6.866666666666666,103,SAM3_sequential
P2,1,P2.1,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P2,1,P2.1,novice,cystotome needle,7594.093183318958,116.26666666666667,1744,SAM3_sequential
P2,1,P2.1,novice,diamond keratome iso,2364.2524658278394,17.466666666666665,262,SAM3_sequential
P2,1,P2.1,novice,diamond keratome straight,277.436011939905,1.0,15,SAM3_sequential
P2,1,P2.1,novice,forceps,4980.811362521899,65.4,981,SAM3_sequential
P2,1,P2.1,novice,viscoelastic cannula,8616.442697598433,218.86666666666667,3283,SAM3_sequential
P2,2,P2.2,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P2,2,P2.2,novice,cystotome needle,6975.056072762153,52.06666666666667,781,SAM3_sequential
P2,2,P2.2,novice,diamond keratome iso,19334.97770063402,202.13333333333333,3032,SAM3_sequential
P2,2,P2.2,novice,diamond keratome straight,1898.3170988833403,9.866666666666667,148,SAM3_sequential
P2,2,P2.2,novice,forceps,6305.18617418967,64.86666666666666,973,SAM3_sequential
P2,2,P2.2,novice,viscoelastic cannula,9578.752513103544,186.33333333333334,2795,SAM3_sequential
P2,3,P2.3,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P2,3,P2.3,novice,cystotome needle,4819.922304024745,44.0,660,SAM3_sequential
P2,3,P2.3,novice,diamond keratome iso,10738.36632105039,96.73333333333333,1451,SAM3_sequential
P2,3,P2.3,novice,diamond keratome straight,375.8740292875808,3.0,45,SAM3_sequential
P2,3,P2.3,novice,forceps,0.0,0.0,0,SAM3_sequential
P2,3,P2.3,novice,viscoelastic cannula,2201.3966852439903,13.6,204,SAM3_sequential
P2,4,P2.4,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P2,4,P2.4,novice,cystotome needle,2645.7921305804675,26.066666666666666,391,SAM3_sequential
P2,4,P2.4,novice,diamond keratome iso,2024.9518590518546,15.266666666666667,229,SAM3_sequential
P2,4,P2.4,novice,diamond keratome straight,126.2525756558138,2.533333333333333,38,SAM3_sequential
P2,4,P2.4,novice,forceps,860.8502242727537,14.533333333333333,218,SAM3_sequential
P2,4,P2.4,novice,viscoelastic cannula,826.6617366094206,9.666666666666666,145,SAM3_sequential
P2,5,P2.5,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P2,5,P2.5,novice,cystotome needle,3250.826357833253,29.0,435,SAM3_sequential
P2,5,P2.5,novice,diamond keratome iso,3007.1488446347184,15.933333333333334,239,SAM3_sequential
P2,5,P2.5,novice,diamond keratome straight,370.66828703377445,4.8,72,SAM3_sequential
P2,5,P2.5,novice,forceps,7858.837864202602,56.733333333333334,851,SAM3_sequential
P2,5,P2.5,novice,viscoelastic cannula,5319.689631615297,77.93333333333334,1169,SAM3_sequential
P3,1,P3.1,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P3,1,P3.1,novice,cystotome needle,6198.412929571663,41.06666666666667,616,SAM3_sequential
P3,1,P3.1,novice,diamond keratome iso,3332.3555312693206,22.666666666666668,340,SAM3_sequential
P3,1,P3.1,novice,diamond keratome straight,499.89973901842495,10.533333333333333,158,SAM3_sequential
P3,1,P3.1,novice,forceps,1586.5363975149182,11.6,174,SAM3_sequential
P3,1,P3.1,novice,viscoelastic cannula,732.9342155722898,11.2,168,SAM3_sequential
P3,2,P3.2,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P3,2,P3.2,novice,cystotome needle,5132.298598242827,45.93333333333333,689,SAM3_sequential
P3,2,P3.2,novice,diamond keratome iso,4544.471633158719,12.066666666666666,181,SAM3_sequential
P3,2,P3.2,novice,diamond keratome straight,827.5310584044578,10.333333333333334,155,SAM3_sequential
P3,2,P3.2,novice,forceps,9030.079309613368,51.0,765,SAM3_sequential
P3,2,P3.2,novice,viscoelastic cannula,890.4505427160793,9.866666666666667,148,SAM3_sequential
P3,3,P3.3,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P3,3,P3.3,novice,cystotome needle,2111.580149972586,24.266666666666666,364,SAM3_sequential
P3,3,P3.3,novice,diamond keratome iso,704.5006729457269,4.4,66,SAM3_sequential
P3,3,P3.3,novice,diamond keratome straight,125.54434681149885,2.6666666666666665,40,SAM3_sequential
P3,3,P3.3,novice,forceps,1445.2004788688105,8.066666666666666,121,SAM3_sequential
P3,3,P3.3,novice,viscoelastic cannula,1328.5463305995756,9.2,138,SAM3_sequential
P3,4,P3.4,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P3,4,P3.4,novice,cystotome needle,2690.4838358742345,28.666666666666668,430,SAM3_sequential
P3,4,P3.4,novice,diamond keratome iso,2430.4969592082825,10.866666666666667,163,SAM3_sequential
P3,4,P3.4,novice,diamond keratome straight,253.2338943548399,3.8666666666666667,58,SAM3_sequential
P3,4,P3.4,novice,forceps,1844.2344105753623,12.2,183,SAM3_sequential
P3,4,P3.4,novice,viscoelastic cannula,994.0668870006203,7.6,114,SAM3_sequential
P3,5,P3.5,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P3,5,P3.5,novice,cystotome needle,3406.8462681883802,27.266666666666666,409,SAM3_sequential
P3,5,P3.5,novice,diamond keratome iso,2429.4908777554347,10.2,153,SAM3_sequential
P3,5,P3.5,novice,diamond keratome straight,236.64211060547484,3.066666666666667,46,SAM3_sequential
P3,5,P3.5,novice,forceps,4632.6209073930795,10.466666666666667,157,SAM3_sequential
P3,5,P3.5,novice,viscoelastic cannula,795.558347449014,8.666666666666666,130,SAM3_sequential
P4,1,P4.1,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P4,1,P4.1,novice,cystotome needle,6474.361004730629,63.4,951,SAM3_sequential
P4,1,P4.1,novice,diamond keratome iso,736.1951130755559,9.0,135,SAM3_sequential
P4,1,P4.1,novice,diamond keratome straight,1400.2509971651364,7.8,117,SAM3_sequential
P4,1,P4.1,novice,forceps,4119.1885256445985,51.0,765,SAM3_sequential
P4,1,P4.1,novice,viscoelastic cannula,3473.672324623869,19.4,291,SAM3_sequential
P4,2,P4.2,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P4,2,P4.2,novice,cystotome needle,4847.453979384816,37.86666666666667,568,SAM3_sequential
P4,2,P4.2,novice,diamond keratome iso,547.8423165216805,6.066666666666666,91,SAM3_sequential
P4,2,P4.2,novice,diamond keratome straight,1200.7178898552863,8.733333333333333,131,SAM3_sequential
P4,2,P4.2,novice,forceps,2808.6226058344823,37.2,558,SAM3_sequential
P4,2,P4.2,novice,viscoelastic cannula,3519.2051806560844,9.066666666666666,136,SAM3_sequential
P4,3,P4.3,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P4,3,P4.3,novice,cystotome needle,4342.806631861002,28.533333333333335,428,SAM3_sequential
P4,3,P4.3,novice,diamond keratome iso,879.4763995086776,7.8,117,SAM3_sequential
P4,3,P4.3,novice,diamond keratome straight,1044.3908655885261,8.333333333333334,125,SAM3_sequential
P4,3,P4.3,novice,forceps,3087.553249250369,42.13333333333333,632,SAM3_sequential
P4,3,P4.3,novice,viscoelastic cannula,1785.7634702807686,12.0,180,SAM3_sequential
P4,4,P4.4,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P4,4,P4.4,novice,cystotome needle,3888.60089291114,21.2,318,SAM3_sequential
P4,4,P4.4,novice,diamond keratome iso,1801.4392558090594,12.4,186,SAM3_sequential
P4,4,P4.4,novice,diamond keratome straight,449.34510004059337,6.133333333333334,92,SAM3_sequential
P4,4,P4.4,novice,forceps,4034.292913584364,39.06666666666667,586,SAM3_sequential
P4,4,P4.4,novice,viscoelastic cannula,1568.3787838909184,8.133333333333333,122,SAM3_sequential
P4,5,P4.5,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P4,5,P4.5,novice,cystotome needle,3202.1215690341282,19.266666666666666,289,SAM3_sequential
P4,5,P4.5,novice,diamond keratome iso,1957.1030281069227,9.066666666666666,136,SAM3_sequential
P4,5,P4.5,novice,diamond keratome straight,349.19559992682423,4.2,63,SAM3_sequential
P4,5,P4.5,novice,forceps,1981.2460711503443,21.666666666666668,325,SAM3_sequential
P4,5,P4.5,novice,viscoelastic cannula,555.0112612717569,4.8,72,SAM3_sequential
P5,1,P5.1,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P5,1,P5.1,novice,cystotome needle,2152.3533696448485,17.666666666666668,265,SAM3_sequential
P5,1,P5.1,novice,diamond keratome iso,150.85317105994739,2.2,33,SAM3_sequential
P5,1,P5.1,novice,diamond keratome straight,989.8819499639852,7.4,111,SAM3_sequential
P5,1,P5.1,novice,forceps,3382.0134152106184,55.86666666666667,838,SAM3_sequential
P5,1,P5.1,novice,viscoelastic cannula,2473.1996321063953,17.866666666666667,268,SAM3_sequential
P5,2,P5.2,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P5,2,P5.2,novice,cystotome needle,1008.3804624140503,21.933333333333334,329,SAM3_sequential
P5,2,P5.2,novice,diamond keratome iso,1294.0619510773001,4.533333333333333,68,SAM3_sequential
P5,2,P5.2,novice,diamond keratome straight,1099.091851853033,8.333333333333334,125,SAM3_sequential
P5,2,P5.2,novice,forceps,6801.550191884267,47.0,705,SAM3_sequential
P5,2,P5.2,novice,viscoelastic cannula,1504.2411019410358,16.333333333333332,245,SAM3_sequential
P5,3,P5.3,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P5,3,P5.3,novice,cystotome needle,1184.278043687499,17.133333333333333,257,SAM3_sequential
P5,3,P5.3,novice,diamond keratome iso,1113.0973492769758,7.8,117,SAM3_sequential
P5,3,P5.3,novice,diamond keratome straight,468.26642195202106,6.8,102,SAM3_sequential
P5,3,P5.3,novice,forceps,4765.605365805515,46.6,699,SAM3_sequential
P5,3,P5.3,novice,viscoelastic cannula,1570.9036557873958,16.466666666666665,247,SAM3_sequential
P5,4,P5.4,novice,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P5,4,P5.4,novice,cystotome needle,1036.4045616452659,13.8,207,SAM3_sequential
